Designator,Mid X,Mid Y,Rotation,Layer
12V IN,132.0,-64.5,180.0,top
5V IN,159.5,-113.25,180.0,top
D1,170.54,-84.3,0.0,top
D2,170.54,-74.3,0.0,top
D3,170.54,-104.3,0.0,top
D4,170.54,-94.3,0.0,top
D5,156.27,-78.45,270.0,top
D6,156.27,-67.45,270.0,top
D7,156.27,-100.45,270.0,top
D8,156.27,-89.45,270.0,top
GROW1,171.25,-113.5,0.0,top
GROW2,181.05,-110.5,90.0,top
HEATER,180.75,-100.5,90.0,top
J1,147.48,-93.99,0.0,top
J3,184.21,-124.38,0.0,top
J4,132.87,-127.16,90.0,top
J6,162.76,-126.72,90.0,top
J7,179.22,-124.12,0.0,top
J8,147.88,-127.03,90.0,top
J9,161.14,-120.26,270.0,top
Q1,144.73,-99.3,0.0,top
Q2,144.73,-120.3,0.0,top
Q3,144.73,-109.3,0.0,top
Q4,144.73,-77.3,0.0,top
Q5,144.73,-67.3,0.0,top
Q6,144.73,-88.3,0.0,top
R10,164.3575,-84.3,180.0,top
R11,164.1825,-74.3,180.0,top
R12,164.27,-104.3,180.0,top
R13,164.27,-94.3,180.0,top
R14,152.5,-116.25,270.0,top
R15,152.5,-110.7875,90.0,top
R2,129.27,-120.2125,90.0,top
R3,134.27,-120.2125,270.0,top
R4,130.27,-72.3,270.0,top
R5,130.27,-104.3,270.0,top
R6,130.27,-112.3,270.0,top
R7,130.27,-96.3,270.0,top
R8,130.27,-80.3,270.0,top
R9,130.27,-88.3,270.0,top
VALVE1,180.75,-79.0,90.0,top
VALVE2,180.75,-67.25,90.0,top
WATER PUMP,180.75,-89.5,90.0,top
